EC_Number	BiGG_Reaction
1.3.99.8	NOT_IN_BIGG_DATABASE
1.4.1.1	ALAD_L
1.4.1.13	GAM
1.4.1.13	GDH_nadp
1.4.1.13	GLUDy
1.4.1.13	GLUDym
1.4.1.13	GLUN
1.4.1.13	GLUNm
1.4.1.13	GLUNpp
1.4.1.13	GLUS_nadph
1.4.1.13	GLUSy
1.4.1.2	GDH
1.4.1.2	GDH1
1.4.1.2	GDHm
1.4.1.2	GLUDxi
1.4.1.21	ASPO2
1.4.1.21	ASPO2y
1.4.1.3	GDH
1.4.1.3	GDH1
1.4.1.3	GDH_nadp
1.4.1.3	GDHm
1.4.1.3	GLUDxi
1.4.1.3	GLUDy
1.4.1.3	GLUDym
1.4.1.4	GDH
1.4.1.4	GDH1
1.4.1.4	GDH_nadp
1.4.1.4	GDHm
1.4.1.4	GLUDxi
1.4.1.4	GLUDy
1.4.1.4	GLUDym
1.4.1.9	ILEDHr
1.4.1.9	LLEUDr
